"user_id","activity_start_dt","result_mentioned_by_user"
11,2015-10-01 10:06:00,Отлично
44,2015-12-24 14:17:00,Нейтрально
93,2015-12-20 19:06:00,Отлично
101,2015-10-15 08:38:00,Не удовлетворительно
104,2015-12-02 12:43:00,Не удовлетворительно
160,2015-12-20 20:13:00,Нейтрально
163,2015-12-28 11:35:00,Хорошо
316,2015-09-17 13:13:00,Отлично
344,2015-11-12 12:15:00,Хорошо
382,2015-10-08 12:20:00,Отлично
386,2015-11-01 21:42:00,Отлично
419,2015-12-29 12:53:00,Не удовлетворительно
421,2015-11-01 19:44:00,Отлично
424,2015-12-26 10:44:00,Отлично
456,2015-12-23 16:19:00,Не удовлетворительно
479,2015-11-18 15:27:00,Отлично
513,2015-10-19 09:44:00,Нейтрально
644,2015-11-03 18:40:00,Отлично
645,2015-09-07 22:18:00,Отлично
710,2015-10-06 12:47:00,Отлично
751,2015-10-30 02:25:00,Удовлетворительно
826,2015-12-27 12:10:00,Удовлетворительно
902,2015-09-06 11:12:00,Не удовлетворительно
1 069,2015-11-03 10:18:00,Отлично
1 079,2015-12-21 23:44:00,Хорошо
1 118,2015-09-21 16:56:00,Отлично
1 141,2015-12-19 20:59:00,Хорошо
1 151,2015-11-09 21:36:00,Отлично
1 200,2015-12-24 16:09:00,Нейтрально
1 252,2015-10-25 22:59:00,Не удовлетворительно
1 272,2015-09-16 12:38:00,Отлично
1 289,2015-09-10 13:45:00,Отлично
1 300,2015-12-26 16:19:00,Отлично
1 415,2015-09-01 17:42:00,Отлично
1 540,2015-09-03 22:35:00,Отлично
1 545,2015-09-27 15:08:00,Отлично
1 674,2015-10-16 19:59:00,Не удовлетворительно
1 705,2015-10-24 11:23:00,Удовлетворительно
1 730,2015-12-29 16:43:00,Отлично
1 755,2015-10-09 20:33:00,Не удовлетворительно
1 763,2015-11-12 22:34:00,Отлично
1 775,2015-11-21 20:37:00,Хорошо
1 871,2015-12-18 23:09:00,Отлично
1 876,2015-10-14 10:46:00,Отлично
1 902,2015-12-18 08:05:00,Отлично
1 979,2015-09-15 18:25:00,Нейтрально
2 040,2015-10-15 08:30:00,Хорошо
2 099,2015-12-11 14:12:00,Отлично
2 173,2015-09-02 18:26:00,Отлично
2 314,2015-10-30 00:47:00,Нейтрально
2 346,2015-09-21 11:25:00,Хорошо
2 390,2015-10-03 10:24:00,Отлично
2 515,2015-12-30 13:01:00,Отлично
2 543,2015-11-03 18:28:00,Отлично
2 553,2015-09-21 14:52:00,Отлично
2 723,2015-11-10 20:22:00,Хорошо
2 764,2015-12-01 11:39:00,Не удовлетворительно
2 804,2015-12-10 17:46:00,Хорошо
2 914,2015-11-02 16:51:00,Удовлетворительно
2 923,2015-12-21 13:34:00,Хорошо
2 982,2015-11-09 13:30:00,Отлично
3 191,2015-10-27 18:50:00,Удовлетворительно
3 332,2015-11-13 11:59:00,Не удовлетворительно
3 384,2015-09-14 17:33:00,Отлично
3 411,2015-11-09 08:09:00,Хорошо
3 504,2015-09-14 21:51:00,Хорошо
3 520,2015-09-06 16:19:00,Отлично
3 704,2015-10-14 14:09:00,Не удовлетворительно
3 716,2015-11-24 08:53:00,Отлично
3 718,2015-12-19 13:22:00,Хорошо
3 836,2015-11-09 15:57:00,Отлично
4 031,2015-12-07 13:35:00,Отлично
4 125,2015-12-20 23:51:00,Хорошо
4 212,2015-10-07 11:32:00,Отлично
4 219,2015-12-16 19:27:00,Отлично
4 258,2015-09-16 05:29:00,Нейтрально
4 436,2015-11-28 03:15:00,Отлично
4 494,2015-11-12 19:53:00,Нейтрально
4 697,2015-11-09 11:18:00,Отлично
4 814,2015-10-30 21:05:00,Хорошо
4 847,2015-11-12 10:29:00,Отлично
4 869,2015-10-30 23:49:00,Не удовлетворительно
4 910,2015-09-08 15:59:00,Отлично
4 929,2015-12-29 23:59:00,Хорошо
5 037,2015-11-13 09:51:00,Отлично
5 177,2015-10-13 12:53:00,Отлично
5 204,2015-11-16 19:13:00,Хорошо
5 374,2015-10-18 10:17:00,Не удовлетворительно
5 376,2015-12-30 20:45:00,Хорошо
5 454,2015-10-16 06:53:00,Нейтрально
5 535,2015-10-19 14:50:00,Нейтрально
5 620,2015-10-15 20:13:00,Отлично
5 674,2015-12-22 08:57:00,Отлично
5 701,2015-12-04 10:20:00,Отлично
5 791,2015-12-04 16:04:00,Отлично
5 815,2015-10-09 09:52:00,Не удовлетворительно
5 898,2015-12-14 15:17:00,Не удовлетворительно
5 989,2015-12-17 13:46:00,Нейтрально
6 141,2015-09-30 10:42:00,Хорошо
6 155,2015-10-08 06:43:00,Хорошо
6 295,2015-11-30 10:35:00,Хорошо
6 383,2015-11-27 11:22:00,Хорошо
6 476,2015-10-25 21:55:00,Отлично
6 577,2015-10-25 18:41:00,Хорошо
6 583,2015-09-25 20:16:00,Отлично
6 646,2015-09-21 14:38:00,Удовлетворительно
6 664,2015-10-20 17:24:00,Отлично
6 731,2015-09-30 07:20:00,Отлично
6 755,2015-09-29 11:39:00,Отлично
6 917,2015-12-19 09:47:00,Хорошо
7 023,2015-09-15 22:39:00,Отлично
7 052,2015-11-25 18:14:00,Отлично
7 059,2015-12-18 11:37:00,Отлично
7 374,2015-11-20 03:53:00,Не удовлетворительно
7 448,2015-12-25 14:24:00,Нейтрально
7 492,2015-10-15 13:05:00,Отлично
7 674,2015-10-05 16:21:00,Отлично
7 752,2015-10-01 11:32:00,Отлично
7 793,2015-12-28 18:32:00,Отлично
7 815,2015-12-13 15:22:00,Хорошо
7 842,2015-09-14 01:42:00,Хорошо
7 846,2015-09-08 07:45:00,Отлично
7 911,2015-12-03 16:47:00,Не удовлетворительно
8 087,2015-11-21 22:49:00,Хорошо
8 177,2015-12-22 14:51:00,Отлично
8 189,2015-09-26 19:09:00,Отлично
8 368,2015-12-14 17:54:00,Отлично
8 418,2015-10-11 17:14:00,Не удовлетворительно
8 541,2015-11-26 20:30:00,Отлично
8 618,2015-12-21 12:17:00,Нейтрально
8 623,2015-12-25 09:28:00,Хорошо
8 922,2015-12-30 13:31:00,Отлично
9 004,2015-09-18 17:10:00,Отлично
9 024,2015-09-17 22:09:00,Отлично
9 167,2015-11-12 10:30:00,Удовлетворительно
9 190,2015-10-06 14:03:00,Не удовлетворительно
9 355,2015-12-18 19:18:00,Нейтрально
9 559,2015-10-25 20:51:00,Хорошо
9 697,2015-11-07 11:16:00,Не удовлетворительно
9 819,2015-09-21 11:10:00,Отлично
9 834,2015-10-24 22:50:00,Хорошо
10 115,2015-11-02 08:11:00,Хорошо
10 135,2015-11-09 09:39:00,Не удовлетворительно
10 397,2015-12-26 21:02:00,Отлично
10 465,2015-12-15 06:36:00,Отлично
10 538,2015-10-26 11:04:00,Хорошо
10 839,2015-11-10 19:20:00,Отлично
10 846,2015-10-27 18:33:00,Отлично
10 929,2015-10-20 09:17:00,Удовлетворительно
10 967,2015-12-18 08:57:00,Нейтрально
11 002,2015-09-26 12:20:00,Не удовлетворительно
11 276,2015-12-03 01:50:00,Отлично
11 360,2015-10-17 13:09:00,Не удовлетворительно
11 480,2015-09-27 14:05:00,Отлично
11 608,2015-10-08 13:44:00,Хорошо
11 874,2015-11-12 17:28:00,Хорошо
11 918,2015-10-07 12:15:00,Нейтрально
11 925,2015-09-21 14:31:00,Нейтрально
11 983,2015-12-23 12:59:00,Не удовлетворительно
12 089,2015-09-09 21:14:00,Отлично
12 449,2015-10-22 15:17:00,Не удовлетворительно
12 495,2015-10-25 11:42:00,Хорошо
12 528,2015-12-30 11:23:00,Хорошо
12 748,2015-09-08 15:20:00,Не удовлетворительно
12 959,2015-09-10 20:12:00,Отлично
13 008,2015-10-28 16:27:00,Отлично
13 213,2015-09-28 11:59:00,Удовлетворительно
13 365,2015-10-19 14:11:00,Отлично
13 502,2015-11-08 20:40:00,Отлично
13 606,2015-09-04 09:58:00,Отлично
13 726,2015-09-15 18:41:00,Отлично
13 777,2015-10-31 12:23:00,Отлично
13 833,2015-09-02 00:05:00,Отлично
14 011,2015-11-24 11:12:00,Удовлетворительно
14 044,2015-11-03 08:29:00,Хорошо
14 403,2015-11-13 00:20:00,Нейтрально
14 417,2015-10-18 11:26:00,Отлично
14 519,2015-09-30 20:31:00,Нейтрально
14 690,2015-10-06 21:39:00,Удовлетворительно
14 773,2015-09-25 20:16:00,Не удовлетворительно
15 037,2015-12-09 19:36:00,Не удовлетворительно
15 087,2015-10-10 19:54:00,Отлично
15 264,2015-10-05 13:43:00,Отлично
15 315,2015-10-08 10:23:00,Отлично
15 488,2015-11-29 16:07:00,Отлично
15 495,2015-12-10 13:15:00,Хорошо
15 857,2015-09-08 20:55:00,Нейтрально
15 905,2015-09-28 11:59:00,Отлично
15 965,2015-12-21 08:28:00,Отлично
16 050,2015-10-27 18:58:00,Отлично
16 071,2015-09-10 09:30:00,Отлично
16 139,2015-12-07 01:13:00,Отлично
16 147,2015-09-15 22:55:00,Отлично
16 407,2015-09-14 21:48:00,Отлично
16 455,2015-11-08 11:09:00,Отлично
16 549,2015-10-01 02:54:00,Хорошо
16 611,2015-09-05 14:21:00,Отлично
16 667,2015-10-05 13:45:00,Нейтрально
16 678,2015-12-13 17:51:00,Не удовлетворительно
16 799,2015-10-07 09:05:00,Хорошо
16 986,2015-10-02 21:32:00,Отлично
17 009,2015-10-19 08:12:00,Отлично
17 075,2015-12-15 17:46:00,Отлично
17 091,2015-09-01 07:35:00,Отлично
17 160,2015-11-25 08:52:00,Отлично
17 212,2015-09-30 10:41:00,Отлично
17 274,2015-10-07 10:52:00,Хорошо
17 420,2015-12-16 14:47:00,Отлично
17 443,2015-09-16 21:56:00,Удовлетворительно
17 766,2015-12-23 08:54:00,Отлично
17 835,2015-12-16 10:12:00,Нейтрально
17 853,2015-09-29 11:41:00,Нейтрально
17 856,2015-10-06 19:17:00,Не удовлетворительно
17 865,2015-09-21 23:27:00,Отлично
18 112,2015-11-23 12:58:00,Отлично
18 169,2015-09-14 09:05:00,Нейтрально
18 304,2015-11-12 21:08:00,Отлично
18 456,2015-09-11 08:52:00,Не удовлетворительно
18 514,2015-11-27 15:51:00,Отлично
18 566,2015-11-30 23:10:00,Не удовлетворительно
18 834,2015-12-27 20:44:00,Не удовлетворительно
18 929,2015-12-22 19:54:00,Отлично
19 206,2015-10-22 20:02:00,Не удовлетворительно
19 239,2015-12-25 20:31:00,Нейтрально
19 924,2015-11-17 11:44:00,Отлично
20 087,2015-10-15 00:56:00,Отлично
20 337,2015-11-22 12:34:00,Хорошо
20 644,2015-10-27 20:00:00,Не удовлетворительно
20 795,2015-09-29 14:53:00,Хорошо
20 879,2015-12-17 16:45:00,Отлично
20 922,2015-10-29 17:33:00,Отлично
20 956,2015-10-16 13:11:00,Хорошо
20 990,2015-09-18 15:19:00,Отлично
21 089,2015-09-04 00:37:00,Отлично
21 093,2015-11-20 00:03:00,Отлично
21 216,2015-12-02 08:52:00,Отлично
21 349,2015-11-08 17:03:00,Отлично
21 488,2015-12-28 14:12:00,Не удовлетворительно
21 531,2015-11-24 12:11:00,Хорошо
21 545,2015-09-24 11:00:00,Отлично
21 557,2015-12-07 00:41:00,Отлично
21 718,2015-10-14 14:22:00,Хорошо
21 835,2015-09-17 19:41:00,Отлично
21 976,2015-10-31 04:36:00,Отлично
22 033,2015-10-05 08:15:00,Отлично
22 322,2015-10-14 20:01:00,Хорошо
22 428,2015-09-29 10:52:00,Удовлетворительно
22 774,2015-09-17 16:00:00,Отлично
22 849,2015-09-18 08:12:00,Отлично
22 897,2015-10-31 17:20:00,Отлично
22 904,2015-11-24 19:19:00,Отлично
23 152,2015-12-05 15:03:00,Отлично
23 328,2015-10-19 08:32:00,Хорошо
23 341,2015-10-01 18:11:00,Отлично
24 035,2015-12-01 20:49:00,Не удовлетворительно
24 134,2015-10-30 22:14:00,Хорошо
24 170,2015-09-28 18:05:00,Отлично
24 193,2015-09-21 19:52:00,Отлично
24 207,2015-10-13 22:02:00,Отлично
24 333,2015-11-13 11:15:00,Отлично
24 630,2015-10-14 11:18:00,Хорошо
24 681,2015-09-18 05:51:00,Хорошо
24 784,2015-11-11 00:50:00,Хорошо
24 878,2015-09-21 21:54:00,Отлично
25 323,2015-12-23 17:07:00,Отлично
25 374,2015-10-07 16:31:00,Нейтрально
25 452,2015-12-30 11:27:00,Хорошо
25 536,2015-09-29 10:47:00,Отлично
25 590,2015-11-09 09:02:00,Отлично
25 611,2015-09-07 21:16:00,Отлично
26 225,2015-11-26 18:06:00,Удовлетворительно
26 388,2015-10-25 10:47:00,Нейтрально
26 537,2015-11-18 22:27:00,Отлично
26 748,2015-10-18 16:39:00,Отлично
27 244,2015-10-05 14:08:00,Отлично
27 391,2015-10-14 17:29:00,Отлично
27 843,2015-12-23 14:16:00,Отлично
28 190,2015-09-29 10:39:00,Отлично
28 269,2015-12-28 06:02:00,Отлично
28 340,2015-11-11 17:59:00,Отлично
28 872,2015-11-12 19:27:00,Нейтрально
28 874,2015-10-14 15:39:00,Отлично
29 928,2015-09-16 14:53:00,Отлично
30 200,2015-10-07 13:23:00,Отлично
30 694,2015-09-22 00:34:00,Не удовлетворительно
30 942,2015-12-23 18:00:00,Не удовлетворительно
31 140,2015-10-30 17:35:00,Хорошо
31 371,2015-11-12 14:53:00,Отлично
31 841,2015-11-30 19:43:00,Не удовлетворительно
32 163,2015-11-29 19:20:00,Не удовлетворительно
33 923,2015-11-19 15:12:00,Отлично
34 081,2015-10-14 14:48:00,Отлично
34 484,2015-10-12 12:04:00,Отлично
35 416,2015-09-16 15:39:00,Удовлетворительно
36 648,2015-09-15 11:00:00,Хорошо
250 009,2015-09-30 13:59:00,Нейтрально
250 038,2015-10-16 15:29:00,Хорошо
250 070,2015-11-22 02:41:00,Хорошо
250 086,2015-10-28 14:46:00,Отлично
250 092,2015-11-03 01:21:00,Не удовлетворительно
250 099,2015-12-15 13:34:00,Не удовлетворительно
250 101,2015-11-17 16:32:00,Отлично
250 148,2015-12-15 11:55:00,Отлично
250 387,2015-12-09 12:44:00,Отлично
250 405,2015-12-25 17:55:00,Хорошо
250 408,2015-12-24 13:37:00,Отлично
250 458,2015-12-10 22:25:00,Отлично
250 461,2015-10-20 00:29:00,Отлично
250 586,2015-12-30 16:24:00,Отлично
250 643,2015-12-20 11:14:00,Хорошо
250 693,2015-12-21 03:00:00,Не удовлетворительно
250 720,2015-11-30 11:27:00,Отлично
250 839,2015-10-31 19:40:00,Отлично
250 844,2015-09-10 20:49:00,Отлично
250 870,2015-12-03 10:18:00,Не удовлетворительно
250 884,2015-11-27 16:52:00,Хорошо
250 920,2015-11-24 17:53:00,Не удовлетворительно
250 989,2015-10-30 18:59:00,Нейтрально
251 008,2015-12-25 22:47:00,Хорошо
251 060,2015-09-17 11:55:00,Отлично
251 063,2015-12-24 13:00:00,Не удовлетворительно
251 094,2015-10-25 14:27:00,Хорошо
251 103,2015-09-30 13:03:00,Не удовлетворительно
251 120,2015-11-03 18:10:00,Нейтрально
251 171,2015-10-05 08:56:00,Хорошо
251 223,2015-11-22 12:02:00,Нейтрально
251 232,2015-09-07 12:00:00,Не удовлетворительно
251 254,2015-10-13 15:41:00,Отлично
251 318,2015-09-29 14:40:00,Не удовлетворительно
251 349,2015-10-21 21:36:00,Хорошо
251 420,2015-09-17 15:20:00,Нейтрально
251 457,2015-11-05 14:00:00,Хорошо
251 557,2015-09-15 12:47:00,Хорошо
251 574,2015-12-25 19:11:00,Не удовлетворительно
251 635,2015-12-22 17:39:00,Хорошо
251 734,2015-10-13 16:14:00,Удовлетворительно
251 855,2015-11-22 21:31:00,Хорошо
251 872,2015-12-23 11:23:00,Отлично
251 912,2015-11-16 08:06:00,Отлично
251 925,2015-12-17 16:45:00,Отлично
252 120,2015-11-01 13:17:00,Хорошо
252 175,2015-12-08 00:12:00,Удовлетворительно
252 208,2015-10-17 15:47:00,Отлично
252 255,2015-10-04 16:30:00,Отлично
252 267,2015-10-31 13:19:00,Хорошо
252 295,2015-09-29 12:43:00,Отлично
252 323,2015-11-24 09:47:00,Отлично
252 413,2015-10-08 08:15:00,Удовлетворительно
252 568,2015-11-11 10:39:00,Хорошо
252 618,2015-09-03 16:58:00,Отлично
252 808,2015-12-07 22:44:00,Отлично
252 845,2015-09-25 15:31:00,Отлично
252 846,2015-12-14 10:55:00,Нейтрально
252 903,2015-12-01 09:51:00,Отлично
252 925,2015-12-24 02:34:00,Нейтрально
252 944,2015-10-06 16:55:00,Отлично
252 945,2015-10-10 14:18:00,Отлично
253 059,2015-11-14 11:21:00,Не удовлетворительно
253 068,2015-12-03 12:14:00,Не удовлетворительно
253 166,2015-12-16 08:14:00,Отлично
253 236,2015-12-15 16:30:00,Отлично
253 457,2015-12-23 11:51:00,Не удовлетворительно
253 486,2015-12-24 11:56:00,Отлично
253 551,2015-11-24 23:35:00,Отлично
253 572,2015-12-04 19:33:00,Хорошо
253 795,2015-09-25 10:57:00,Хорошо
253 820,2015-11-03 09:03:00,Отлично
254 146,2015-09-15 09:23:00,Хорошо
254 247,2015-09-14 12:35:00,Отлично
254 265,2015-12-16 11:44:00,Не удовлетворительно
254 288,2015-09-17 17:39:00,Отлично
254 307,2015-09-29 12:07:00,Отлично
254 308,2015-09-25 20:29:00,Отлично
254 359,2015-12-18 09:13:00,Нейтрально
254 447,2015-09-08 11:38:00,Не удовлетворительно
254 556,2015-11-07 19:01:00,Отлично
254 658,2015-12-23 15:04:00,Отлично
254 697,2015-10-14 19:47:00,Отлично
254 707,2015-12-07 03:49:00,Хорошо
254 769,2015-11-18 00:03:00,Хорошо
254 959,2015-11-30 12:50:00,Не удовлетворительно
254 987,2015-10-19 15:32:00,Не удовлетворительно
255 111,2015-11-21 14:51:00,Отлично
255 154,2015-12-05 07:53:00,Отлично
255 403,2015-12-21 09:53:00,Отлично
255 438,2015-12-04 10:42:00,Отлично
255 523,2015-09-11 17:16:00,Отлично
255 540,2015-09-14 12:33:00,Хорошо
255 544,2015-09-01 11:52:00,Хорошо
255 588,2015-12-10 04:54:00,Не удовлетворительно
255 721,2015-09-29 18:51:00,Отлично
255 842,2015-10-17 00:26:00,Удовлетворительно
255 883,2015-10-08 20:27:00,Отлично
255 908,2015-10-21 21:33:00,Отлично
255 959,2015-11-03 10:31:00,Отлично
255 988,2015-09-29 03:49:00,Хорошо
255 994,2015-09-19 18:56:00,Отлично
256 073,2015-10-14 10:09:00,Удовлетворительно
256 153,2015-09-30 09:34:00,Не удовлетворительно
256 179,2015-11-16 22:26:00,Отлично
256 266,2015-10-21 18:32:00,Хорошо
256 460,2015-12-21 10:02:00,Отлично
256 505,2015-09-29 08:35:00,Отлично
256 506,2015-10-12 10:58:00,Отлично
256 534,2015-10-02 13:27:00,Отлично
256 585,2015-11-02 09:10:00,Отлично
256 601,2015-09-07 12:41:00,Отлично
256 651,2015-11-27 18:43:00,Отлично
256 716,2015-11-28 22:14:00,Отлично
256 822,2015-12-07 10:00:00,Отлично
257 274,2015-09-30 19:11:00,Отлично
257 277,2015-11-27 15:13:00,Не удовлетворительно
257 353,2015-11-10 19:31:00,Отлично
257 356,2015-10-30 17:14:00,Нейтрально
257 432,2015-11-13 11:46:00,Нейтрально
257 568,2015-12-03 14:41:00,Отлично
257 634,2015-12-15 11:57:00,Удовлетворительно
257 787,2015-11-15 18:35:00,Отлично
257 969,2015-12-11 23:10:00,Нейтрально
258 060,2015-09-15 10:56:00,Отлично
258 179,2015-10-24 11:09:00,Не удовлетворительно
258 241,2015-09-21 09:23:00,Отлично
258 294,2015-11-07 11:38:00,Не удовлетворительно
258 463,2015-10-31 13:54:00,Не удовлетворительно
258 477,2015-12-23 09:00:00,Нейтрально
258 730,2015-09-14 18:31:00,Не удовлетворительно
258 810,2015-12-15 23:10:00,Отлично
258 906,2015-12-13 13:53:00,Не удовлетворительно
258 968,2015-10-09 19:09:00,Отлично
259 043,2015-10-23 10:21:00,Нейтрально
259 069,2015-10-12 10:15:00,Удовлетворительно
259 271,2015-09-27 09:11:00,Удовлетворительно
259 418,2015-12-19 15:20:00,Хорошо
259 626,2015-10-21 09:49:00,Отлично
259 809,2015-12-07 18:43:00,Хорошо
259 813,2015-12-27 17:57:00,Отлично
259 985,2015-10-30 07:36:00,Отлично
260 257,2015-09-16 12:31:00,Хорошо
260 405,2015-09-04 13:37:00,Хорошо
260 462,2015-09-21 15:05:00,Отлично
260 534,2015-09-24 10:19:00,Удовлетворительно
260 544,2015-09-29 10:14:00,Удовлетворительно
260 591,2015-10-23 02:34:00,Не удовлетворительно
260 696,2015-09-03 11:47:00,Не удовлетворительно
260 793,2015-10-20 14:11:00,Отлично
261 173,2015-11-16 17:56:00,Отлично
261 272,2015-10-15 11:38:00,Отлично
261 292,2015-09-14 23:00:00,Отлично
261 509,2015-12-30 10:12:00,Не удовлетворительно
261 759,2015-10-22 12:54:00,Отлично
261 768,2015-12-16 12:58:00,Отлично
261 775,2015-09-07 10:12:00,Отлично
261 807,2015-12-08 10:27:00,Отлично
261 848,2015-12-11 13:50:00,Отлично
261 942,2015-12-21 10:20:00,Не удовлетворительно
262 357,2015-09-14 15:18:00,Отлично
262 491,2015-09-30 00:39:00,Отлично
262 508,2015-11-25 15:47:00,Отлично
262 557,2015-09-29 10:29:00,Отлично
262 582,2015-12-17 16:40:00,Не удовлетворительно
262 718,2015-09-29 12:42:00,Отлично
262 833,2015-12-26 21:32:00,Отлично
262 916,2015-10-17 16:46:00,Отлично
262 994,2015-10-08 15:37:00,Не удовлетворительно
263 152,2015-12-11 15:13:00,Отлично
263 369,2015-09-29 10:25:00,Хорошо
263 489,2015-11-04 14:53:00,Отлично
263 490,2015-09-29 11:22:00,Отлично
263 508,2015-12-01 17:25:00,Отлично
263 574,2015-11-15 09:39:00,Не удовлетворительно
263 632,2015-10-07 13:38:00,Хорошо
263 649,2015-09-18 09:25:00,Хорошо
263 690,2015-12-23 15:58:00,Отлично
263 763,2015-09-20 16:35:00,Нейтрально
263 768,2015-09-11 12:42:00,Отлично
264 017,2015-11-09 10:49:00,Удовлетворительно
264 103,2015-12-28 13:35:00,Отлично
264 195,2015-09-10 19:21:00,Не удовлетворительно
264 290,2015-11-10 16:07:00,Не удовлетворительно
264 308,2015-10-12 18:19:00,Отлично
